"""%1"" coupon code is not valid.","קוד קופון ""%"" לא תקין."
"%1","%1"
"%1 / %1 rate:","%1 / %1 שיעור:"
"%1 for %1","%1 עבור %1"
"%1 order(s) cannot be canceled","לא ניתן לבטל %1 הזמנות"
"%1 order(s) have been canceled."," %1 הזמנות בוטלו"
"%1 order(s) have been put on hold.","%1 הזמנות הועברו למצב המתנה"
"%1 order(s) have been released from holding status."," %1 הזמנות שוחררו ממצב המתנה"
"%1 order(s) were not put on hold."," %1 הזמנות לא הועברו למצב המתנה"
"%1 order(s) were not released from holding status.","לא ניתן לבטל %1 הזמנות"
"* - Enter custom price excluding tax","* - כנס מחיר לא כולל מס"
"* - Enter custom price including tax","* - הכנס מחיר כולל מס"
"-- Please Select --","-- בחר מהרשימה --"
"-- Please Select Billing Agreement--","-- אנא בחר הסכם חיוב--"
"About This Order:","פרטי הזמנה:"
"About This Profile:","אודות פרופיל זה:"
"About Your Invoice","אודות החיוב שלך"
"About Your Order","אודות הזמנתך"
"About Your Refund","אודות ההחזר שלך"
"About Your Shipment","אודות המשלוח שלך"
"Accept Payment","קבלת תשלום"
"Accept or Deny Payment","קבל או דחה תשלום"
"Account Information","מידע אודות חשבונך"
"Action","פעולה"
"Actions","פעולות"
"Activate","הפעל"
"Active","פעיל"
"Add","הוסף"
"Add New Address","הוסף כתובת חדשה"
"Add Order Comments","הוסף הערות להזמנה"
"Add Products","הוסף מוצרים"
"Add Selected Product(s) to Option","הוסף מוצר(ים) נבחרים לאופציה"
"Add Selected Product(s) to Order","הוסף מוצר(ים) נבחר(ים) להזמנה"
"Add To Order","הוסף להזמנה"
"Add Tracking Number","הוסף מספר מעקב"
"Add comment to order","הזמנה - הוסף הערה"
"Add new comment to shipment","משלוח - הוסף הערה"
"Add new tracking number","הוסף מספר מעקב"
"Add to Cart","הוספה לסל"
"Additional Product Info","פרטי מוצר נוספים"
"Address","כתובת"
"Address model is not defined.","לא הוגדרה כתובת מודל"
"Adjustment Fee","עמלת התאמה"
"Adjustment Refund","החזר התאמה"
"Agreement Information","פרטי הסכם"
"Allow Reorder","אפשר הזמנה מחדש"
"Amount","כמות"
"Amount: %1.","כמות: %1."
"An error occurred while assigning order status. Status has not been assigned.","ארעה שגיאה במהלך ייחוס סטאטוס הזמנה. סטאטוס לא יוחס."
"An error occurred while saving order status. The status has not been added.","ארעה שגיאה במהלך שמירת סטאטוס ההזמנה. הסטטוס לא התווסף."
"An error occurred while unassigning order status.","ארעה שגיאה במהלך ביטול ייחוס סטאטוס הזמנה"
"An error occurred while updating the order address. The address has not been changed.","ארעה שגיאה במהלך עדכון סטאטוס הזמנה. הכתובת לא שונתה. "
"An item option with code %1 already exists.","אפשרות מוצר עם הקוד  %1 קיימת כבר."
"Append Comments","הוסף הערות"
"Apply","הפעל/אשר"
"Apply Coupon Code","הפעל קוד קופון"
"Approved the payment online.","אושר התשלום המקוון"
"Are you sure you want to accept this payment?","האם אתה בטוח שאתה רוצה לקבל את התשלום הזה?"
"Are you sure you want to cancel this order?","האם לבטל את ההזמנה?"
"Are you sure you want to deny this payment?","האם אתה בטוח שאתה לדחות את התשלום הזה?"
"Are you sure you want to do this?","האם אתה בטוח שברצונך להמשיך?"
"Are you sure you want to send Creditmemo email to customer?","האם אתה בטוח שאתה רוצה לשלוח דוא""ל  Creditmemo ללקוח?"
"Are you sure you want to send Invoice email to customer?","האם אתה בטוח שאתה רוצה לשלוח דוא""ל חיוב ללקוח?"
"Are you sure you want to send Shipment email to customer?","האם אתה בטוח שאתה רוצה לשלוח דוא""ל משלוח ללקוח?"
"Are you sure you want to send order email to customer?","האם אתה בטוח שאתה רוצה לשלוח דוא""ל הזמנה ללקוח?"
"Are you sure you want to void the payment?","האם אתה בטוח שאתה רוצה לבטל את תוקפו של התשלום?"
"Are you sure?","האם אתה בטוח?"
"Are you sure? This order will be canceled and a new one will be created instead","האם אתה בטוח? ההזמנה הנבחרת תבוטל והזמנה חדשה תיווצר במקומה"
"Assign Order Status to State","ייחס סטאטוס הזמנה למצב"
"Assign Status to State","ייחס סטאטוס למצב"
"Assignment Information","פרטי ייחוס"
"At least a payment ID must be set.","חובה להגדיר לפחות קוד ID תשלום"
"Authorization","אישור"
"Authorized amount of %1.","כמות שאושרה: %1."
"Authorizing amount of %1 is pending approval on gateway.","אישור כמות  %1 ממתין בשער."
"Back","חזור"
"Back to Billing Agreements","חזור להסכמי חיוב"
"Back to My Orders","חזור להזמנות שלי"
"Back to Recurring Profiles","חזור לפרופילים מחזוריים"
"Backordered","הוזמן כהזמנת חוסר מלאי"
"Bestsellers","רב-מכר"
"Bill to Name","שלח חיוב לשם"
"Billing","חיוב"
"Billing Address","כתובת לחיוב"
"Billing Agreement","הסכמי חיוב"
"Billing Agreement # %1","הסכמי חיוב # %1"
"Billing Agreement #%1","הסכמי חיוב #%1"
"Billing Agreement View"," סקירת הסכמי חיוב"
"Billing Agreements","הסכמי חיוב"
"Buy %1 for price %1","קנה %1 במחיר %1"
"CSV","CSV"
"Cancel","בטל"
"Cancel invoice","בטל חשבונית"
"Cancel order","בטל הזמנה"
"Canceled","בוטל"
"Canceled order offline.","ביטל המזנה לא מקוונת"
"Canceled order online.","ביטל הזמנה מכוונת"
"Cannot add order history.","לא ניתן להוסיף היסטורית הזמנות"
"Cannot create an empty shipment.","לא יכול ליצור משלוח ריק."
"Cannot determine the field name.","לא ניתן להגדיר שם שדה"
"Cannot do invoice for order.","לא ניתן ליצור חיוב להזמנה"
"Cannot do shipment for order.","לא ניתן ליצור משלוח להזמנה"
"Cannot get order instance","לא ניתן לקבל ערכאת הזמנה"
"Cannot get the order instance.","לא ניתן לקבל ערכאת הזמנה"
"Cannot register an existing credit memo.","לא ניתן לרשום תזכיר אשראי קיים"
"Cannot register existing invoice","לא ניתן לרשום חשבונית קיימת"
"Cannot register existing shipment","לא ניתן לרשום משלוח קיים"
"Capture","לכידה"
"Capture Amount","כמות לכידה"
"Capture Offline","כלכידה לא מכוונת"
"Capture Online","לכידה מקוונת"
"Capture invoice","חשבונית לכידה"
"Captured amount of %1 online.","כמות לכידות מקוונות:  %1 ."
"Capturing amount of %1 is pending approval on gateway.","לוכד כמות של  %1  הממתינים לאישור בשער."
"Carrier","משלח"
"Carrier/Method","משלח/שיטה"
"Change status, add comments","שנה סטטוס, הוסף הערות"
"Changing address information will not recalculate shipping, tax or other order amount.","שינוי כתובת לא יבצע חישוב מחדש של עלויות משלוח, מע""מ או עלויות נוספות."
"Checkout Totals Sort Order","סידור סדר סה""כ צ'ק אאוטים שבוצעו"
"City","עיר"
"Click to change shipping method","לחץ כדי לשנות שיטת משלוח"
"Close","סגור"
"Closed","סגור"
"Comma-separated.","מופרד פסיק"
"Comment","הודעה"
"Comment Text","טקסט הערה"
"Comments","הערות"
"Comments History","היסטוריית הערות"
"Company","חברה"
"Complete","הושלם"
"Configure","עצב"
"Configure and Add to Order","עצב והוסף להזמנה"
"Country","ארץ"
"Coupons","קופונים"
"Create","צור"
"Create New Customer","צור לקוח חדש"
"Create New Order","צור הזמנה חדשה"
"Create New Order Status","צור סטאטוס הזמנה חדש"
"Create New Order for %1","צור הזמנה חדשה עבור %1"
"Create New Order for %1 in %1","צור הזמנה חדשה עבור %1 ב %1"
"Create New Order for New Customer","צור הזמנה חדשה עבור לקוח חדש"
"Create New Order for New Customer in %1","צור הזמנה חדשה ללקוח חדש ב %1"
"Create New Status","צור סטאטוס חדש"
"Create Shipment","צור שילוח"
"Create new invoice for order","צור חשבונית חדשה להזמנה"
"Create new shipment for order","צור שילוח חדש להזמנה"
"Create...","צור..."
"Created At","נוצר ב-"
"Created billing agreement #%1.","הסכמי חיוב שנוצרו #%1."
"Created:","נוצרו:"
"Credit Memo","זכות"
"Credit Memo #","חשבונית זיכוי #"
"Credit Memo # ","חשבונית זיכוי #"
"Credit Memo #%1$s | %3$s | %2$s (%4$s)","תזכיר אשראי #%1$s | %3$s | %2$s (%4$s)"
"Credit Memo Comment Email Sender","הערה על זכות - אימייל השולח"
"Credit Memo Comment Email Template","הערה על זכות - תבנית אימייל"
"Credit Memo Comment Email Template for Guest","החזרים - תבנית אימייל - הערות לאורחים"
"Credit Memo Comments","הערות על זכות"
"Credit Memo Email Sender","זכות - אימייל השולח"
"Credit Memo Email Template","זכות - תבנית אימייל"
"Credit Memo Email Template for Guest","החזרים - תבנית אימייל לאורחים"
"Credit Memo Update","החזרים - עדכון"
"Credit Memo Update for Guest","החזרים - עדכון לאורחים"
"Credit Memos","החזרים"
"Credit memo has been created automatically","תזכיר אשראי נוצר באופן אוטומטי"
"Creditmemo","החזר"
"Credit Memo #%1"," חשבונית זיכוי %1#"
"Custom Price","מחיר מותאם"
"Custom Value","ערך המכס"
"Customer","לקוח"
"Customer Can Define Start Date","לקוח יכול להגדיר תאריך התחלה"
"Customer Email","דוא""ל לקוח"
"Customer Group","קבוצת לקוח"
"Customer Last Name","שם משפחה של לקוח"
"Customer My Account Order Creditmemo View","סקירה של תזכירי אשראי של הזמנות של לקוח"
"Customer My Account Order History","היסטוריית הזמנות של לקוח"
"Customer My Account Order Invoice View","סקירת חיובי הזמנות של לקוח"
"Customer My Account Order Shipment View","סקירת משלוחי הזמנות של לקוח"
"Customer My Account Order View","סקירת הזמנות של לקוח"
"Customer Name","שם לקוח"
"Customer\'s Current Activities","לקוח - פעולות נוכחיות"
"Date","תאריך"
"Date Shipped","תאריך שילוח"
"Default Status","סטאטוס ברירת מחדל"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","לוגו ברירת מחדל למסמכי PDF ו- HTML.<br />(jpeg, tiff, png)"
"Delete","מחק/מחיקה"
"Denied the payment online.","נדחה התשלום המקוון"
"Deny Payment","דחה תשלום"
"Description Message","הודעת תיאור"
"Discount","הנחה"
"Discount (%1)","הנחה (%1)"
"Discount Amount","גובה/כמות הנחה"
"Display Order ID in Header","הצג קוד הזמנה בכותרת עליונה"
"Edit","ערוך"
"Edit Order","ערוך הזמנה"
"Edit Order #%1","ערוך הזמנה #%1"
"Edit Order %1 %1 Address","ערוך כתובת הזמנה %1 %1 "
"Edit Order Status","ערוך סטאטוס הזמנה"
"Email","מייל"
"Email Copy of Credit Memo","שלח העתק זכות במייל"
"Email Copy of Invoice","שלח העתק חשבונית (אימייל)"
"Email Copy of Shipment","שלח העתק שילוח (אימייל)"
"Email Order Confirmation","שלח אישור הזמנה (אימייל)"
"Enable","אפשר"
"Enabled","פעיל"
"Error to Show in Shopping Cart","שגיאה לתצוגה בעגלת קניות"
"Excel XML","Excel XML"
"Excl. Tax","לא כולל מס"
"Expired","פג תוקף"
"Failed to cancel the billing agreement.","נכשל בביטול הסכם חיוב"
"Failed to create billing agreement for this order.","נכשל ביצירת הסכם חיוב עבור הזמנה זאת"
"Failed to finish billing agreement wizard.","נכשל בסיום אשף הסכם חיוב"
"Failed to send the order email.","נכשל בשליחת דוא""ל הזמנה"
"Failed to start billing agreement wizard.","נכשל בהתחלת אשף הסכם חיוב"
"Failed to update the payment.","נכשל בעדכון התשלום"
"Failed to update the profile.","נכשל בעדכון הפרופיל"
"Failed to void the payment.","נכשל בביטול תוקפו של"
"Fetch","השג"
"First Name","שם פרטי"
"From","מ"
"From Name","משם"
"From:","מ:"
"G.T. (Base)","G.T. (בסיס)"
"G.T. (Purchased)","G.T. (נרכש)"
"General Information","מידע כללי"
"Get Payment Update","קבל עדכון תשלום"
"Get Update","קבל עדכון"
"Get shipping methods and rates","קבל סוג שילוח ותעריפים"
"Gift Message","ברכה"
"Gift Message for This Order","הודעת ברכה עבור הזמנה זאת"
"Gift Message for the Entire Order","הודעת ברכה עבור ההזמנה כולה"
"Gift Message for this Order","ברכה להזמנה זו"
"Gift Options","אפשרויות ברכה"
"Grand Total","סה""כ"
"Grand Total to be Charged","סה""כ סכום לחיוב"
"Guest","אורח"
"Hold","החזק/עצור/השהה"
"Hold action is not available.","לא ניתן לבצע השהיית פעולה"
"Hold order","השהה הזמנה"
"ID","קוד/ת.ז/זיהוי"
"ID #","ID #"
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%1""","IPN ""הוחזר"". ההחזר שהופנה על ידי הסוחר. הערה שנרשמה אודות ההחזר של %1. קוד העברה ID: ""%1"""
"If empty, the default description above will be used.","אם ריק, יבוצע שימוש בתיאור שמתואר לעיל"
"If empty, the default error above will be used.","אם ריק, יבוצע שימוש בהודעת השגיאה שמצורפת לעיל"
"If the invoice was created offline, try creating an offline creditmemo.","אם החיוב נוצר בצורה לא מקוונת, נסה ליצור תזכיר אשראי לא מקוון"
"Incl. Tax","כולל מס"
"Information","מידע"
"Initial Fee","עמלה ראשונית"
"Initial Fees","עמלות ראשונות"
"Initial period payment","תשלום מחזור ראשוני"
"Invalid block: %1.","בלוק לא תקין: %1."
"Invalid carrier specified.","צוין שליח לא תקין "
"Invalid draw line data. Please define ""lines"" array.","פרטי ציור קו נתונים לא תקין. אנא הגדר ערכאת  ""קווים"" "
"Invalid entity model","מודול יישות לא תקין"
"Invalid item option format.","פורמט אפשרות פריט לא תקינה"
"Invalid qty to invoice item ""%1""","כמות לא תקינה לחיוב פריט ""%1"""
"Invalid qty to refund item ""%1""","כמות לא תקנה להחזר פריט ""%1"""
"Invalid qty to ship for item ""%1""","כמות לא תקינה למשלוח פריט ""%1"""
"Invalid renderer model","מודל renderer לא תקין"
"Invalid request for adding product to quote.","בקשה לא תקינה להוספת פריט לציטוט"
"Invoice","חשבונית"
"Invoice #","# חשבונית"
"Invoice # ","# חשבונית"
"Invoice #%1$s | %2$s | %4$s (%3$s)","חשבונית #%1$s | %2$s | %4$s (%3$s)"
"Invoice #%1","# חשבונית %1"
"Invoice # "," חשבונית מס/ קבלה "
"Invoice Comment Email Sender","הערת חשבונית לאימייל שולח"
"Invoice Comment Email Template","הערת חשבונית לתבנית אימייל"
"Invoice Comment Email Template for Guest","תבנית דוא""ל הערת חשבונית עבור מבקרים"
"Invoice Comments","חשבונית - הערות"
"Invoice Date","תאריך חשבונית: %1"
"Invoice creation date %1","תאריך יצירת חשבונית  %1"
"Invoice Email Sender","חשבונית - אימייל השולח"
"Invoice Email Template","חשבונית - תבנית אימייל"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Invoice Update","עדכון חשבונית"
"Invoice Update for Guest","עדכון חשבונית אורח"
"Invoice and Packing Slip Design","עיצוב חשבונית ורשימת מארז"
"Invoice and Ship","חייב ושלח"
"Invoice canceling problem.","שגיאה בביטול חשבונית"
"Invoice cannot be canceled.","לא ניתן לבטל את החשבונית"
"Invoice cannot be captured.","לא ניתן ללכוד את החשבונית"
"Invoice cannot be voided.","לא ניתן לבטל את תוקפה של החשבונית"
"Invoice capturing problem.","שגיאה בלכידת חשבונית"
"Invoice void problem","בעיית חשבונית ריקה"
"Invoice will be created without communication with payment gateway.","חשבונית תיווצר ללא קשר לשערי תשלום"
"Invoiced","נרשם בחשבונית"
"Invoices","חשבוניות"
"Is Closed","נסגר"
"Item","פריט"
"Item Status","סטטוס פריט"
"Item object is not specified.","לא צוין אובייקט פריט"
"Item options declaration error.","שגיאה בכרזת אפשרות מוצר"
"Item ordered qty","פריט - כמות מוזמנת"
"Item qty declaration error.","שגיאה בהכרזת כמות פריט"
"Items","פריטים"
"Items Invoiced","פריטים בחשבונית"
"Items Ordered","פריטים שהוזמנו"
"Items Refunded","פריטים שהוחזרו"
"Items Shipped","פריטים שנשלחו"
"Items maximum quantity or price do not allow checkout.","כמות מקסימלית של פריטים או סכום לא מאפשרים צ'ק אאוט"
"Items options declaration error.","שגיאה בהכרזת אפשרויות פריט"
"Items to Refund","פריטים להחזר"
"Items to Ship","פריטים לשילוח"
"Key","מפתח"
"Last Name","שם משפחה"
"Last Ordered Items","פריטי הזמנה אחרונה"
"Last status can\'t be unassigned from state.","לא ניתן לבטל ייחוס סטאטוס ממצב אחרון"
"Link to the New Order","קישור להזמנה חדשה"
"Link to the Previous Order","קישור להזמנה קודמת"
"Logo for HTML Print View","לוגו עבור תצוגת הדפה של HTML"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","לוגו עבור מסמכי HTML בלבד. אם ריק, יבוצע שימוש בברירת מחדל.<br />(jpeg, gif, png)"
"Logo for PDF Print-outs (200x50)","לוגו עבור הדפסות PDF (200x50)"
"Manage","נהל"
"Maximum shipping amount allowed to refund is: %1","כמות מקסימלית של משלוח שלהחזר: %1"
"Message","הודעה"
"Message:","הודעה:"
"Minimum Amount","כמות מינימלית"
"Minimum Order Amount","כמות מינימלית להזמנה"
"Mixed","משולב/מעורבב"
"Move to Shopping Cart","העבר לעגלת הקניות"
"Move to Wishlist","עבור לרשימת החלומות"
"Multi-address Description Message","הודעת תיאור מרובת כתובות"
"Multi-address Error to Show in Shopping Cart","שגיאה מרובת כתובת לתצוגה בעגלת הקניות"
"My Orders","ההזמנות שלי"
"My Orders - Details","הזמנות שלי - פרטים"
"N/A","לא זמין"
"Name","שם"
"New","חדש"
"New Billing Agreement","הסכם חיוב חדש"
"New Credit Memo","תזכיר אשראי חדש"
"New Credit Memo for Guest","תזכיר אשראי חדש למבקר"
"New Invoice","חשבונית חדשה"
"New Invoice and Shipment for Order #%1","חשבונית ומשלוח חדש עבור ההזמנה #%1"
"New Invoice for Guest","חשבונית חדשה עבור המבקר"
"New Invoice for Order #%1","חשבונית חדשה עבור ההזמנה #%1"
"New Order","הזמנה חדשה"
"New Order Confirmation Email Sender","שולח דוא""ל אישור הזמנה חדשה"
"New Order Confirmation Template","תבנית אישור הזמנה חדשה"
"New Order Confirmation Template for Guest","תבנית אישור הזמנה חדשה עבור מבקרים"
"New Order RSS","RSS הזמנה חדשה"
"New Order Status","סטאטוס הזמנה חדשה"
"New Order for Guest","הזמנה חדשה עבור מבקר"
"New Shipment","שילוח/משלוח חדש"
"New Shipment for Guest","משלוח חדש עבור מבקר"
"New Shipment for Order #%1","משלוח חדש עבור ההזמנה #%1"
"Newsletter Subscription","ניוזלטר - רישום"
"No","לא"
"No Items","ללא פרטים"
"No Items To Refund","אין פריטים לביצוע החזר"
"No Payment Methods","אין/ללא שיטות תשלום"
"No detail for number ""%1""","אין פרטים אודות המספר ""%1"""
"No information available.","אין מידע זמין"
"No items","ללא פרטים"
"No order(s) were put on hold.","לא הועברו הזמנות למצב המתנה"
"No order(s) were released from holding status.","לא הועברו הזמנות ממצב המתנה"
"No ordered items","אין פריטים שהוזמנו"
"No shipping information available","אין פרטי משלוח זמינים"
"No valid transaction found for this payment review.","לא נמצאה העברה תקינה עבור סקירת התשלום"
"Nominal Items","פריטים נקובים"
"Nominal item can be purchased standalone only. To proceed please remove other items from the quote.","ניתן לבצע רכישה של פריט נקוב רק כפריט בודד בהזמנה. כדי להמשיך , אנא הסר את הפריטים הנוספים."
"Nominal order registered.","הזמנה נקובה נרשמה"
"Not Capture","לא נלכד"
"Not Initialized","לא ניזם"
"Not Notified","לא צוין"
"Not enough valid data to save the parent transaction ID.","אין מספיק מידע תקין לשמירת קו דID של העברה ראשית."
"Notification Not Applicable","הודעה לא יישימה"
"Notified","הודעה הועברה"
"Notify Customer by Email","עדכן את הלקוח באמצעות דוא""ל"
"Number","מספר"
"Number of Invoiced Orders","מספר הזמנות שחויבו"
"Number of Orders","כמות הזמנות"
"Number of Refunded Orders","מספר הזמנות הוחזרו"
"Offline Refunded","החזרים לא מקוונים"
"On Hold","מושהה"
"Online Refunded","החזרים מקוונים"
"Order","הזמנה"
"Order #","מס' הזמנה"
"Order # ","מס' הזמנה"
"Order # %1","הזמנה # %1"
"Order # %1 %1 | %1","הזמנה # %1 %1 | %1"
"Order #%1","מס' הזמנה %1"
"Order #%1 - %1","הזמנה מס' %1 - <small><em>%1</em></small>"
"Order API","ממשק ניהול הזמנות"
"Order Address Information","פרטי כתובת הזמנה"
"Order Comment","הערת הזמנה"
"Order Comment Email Sender","הערת שולח דוא""ל הזמנה"
"Order Comment Email Template","תבנית דוא""ל הערת הזמנה"
"Order Comment Email Template for Guest","תבנית דוא""ל של הזמנה ללקוח"
"Order Comments","הערות הזמנה"
"Order Credit Memos","הזמנה - החזרים"
"Order Currency:","מטבע הזמנה:"
"Order Date","תאריך הזמנה"
"Order Date (%1)","תאריך הזמנה (%1)"
"Order Date: ","תאריך הזמנה:"
"Order Date: %1","תאריך הזמנה: %1"
"Order Details","פרטי ההזמנה"
"Order Grand Total","הזמנה - סה""כ"
"Order History","היסטוריית הזמנה"
"Order History Info","פרטי היסטוריית המזנה"
"Order ID","קוד הזמנה"
"Order Information","מידע על ההזמנה"
"Order Invoices","חשבוניות הזמנה"
"Order Shipments","הזמנה - משלוחים"
"Order State","מצב הזמנה"
"Order Status","סטטוס הזמנה"
"Order Status Information","פרטי סטאטוס הזמנה"
"Order Statuses","מצב הזמנות"
"Order Subtotal","סך ביניים להזמנה"
"Order Taxes Report Grouped by Tax Rates","דוחות מס מקובצים לפי שיעורי מס של הזמנה"
"Order Total","סה""כ להזמנה"
"Order Totals","סיכום הזמנה"
"Order Update","עידכון הזמנה"
"Order Update for Guest","עדכון הזמנה עבור לקוח"
"Order View","מבט הזמנה"
"Order does not allow to be canceled.","לא ניתן לבטל הזמנה"
"Order invoice","חשבונית הזמנה"
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","ההזמנה  %1 הושהתה מכיוון שלכידת הכמות חשודה."
"Order object is not specified.","לא צוין אובייקט הזמנה"
"Order saving error: %1","שמירת הזמנה, שגיאה: %1"
"Order shipments","הזמנה - משלוחים"
"Order status does not exist.","סטאטוס הזמנה לא קיים"
"Order status with the same status code already exist.","סטאטוס הזמנה עם קוד סטאטוס זההכבר קיים"
"Order was placed using %1","ההזמנה בוצעה באמצעות %1"
"Ordered","הוזמן"
"Ordered amount of %1.","כמות מוזמנת של %1."
"Ordering amount of %1 is pending approval on gateway.","הזמנה של  %1 כמויות  ממתינה."
"Orders","הזמנות"
"Original Price","מחיר מקורי"
"Original order item that recurring payment profile correspondss to.","פריט הזמנה מקורי של תשלום פרופיל חוזר תואם ל "
"PDF Credit Memos","צור PDF להחזרים"
"PDF Invoices","צור PDF לחשבוניות"
"PDF Packingslips","צור PDF לרשימת מארז"
"PDF Print-outs"," תדפיס PDF"
"PDF object is not specified.","פריט PDF לא צוין."
"PDF page object is not specified.","לא צוין אובייקט דף PDF"
"PDF total model should extend Mage_Sales_Model_Order_Pdf_Total_Default","מודול כולל של PDF צריך לכלול  Mage_Sales_Model_Order_Pdf_Total_Default"
"Packingslip # ","רשימת אריזה #"
"Paid","שולם"
"Paid Amount","כמות ששולמה"
"Parent Transaction ID","קוד ID של העברה ראשית"
"Parent transaction ID must have a transaction ID.","קוד ID של העברה ראשית חייב להכיל קוד העברת ID"
"Partial","חלקי"
"Payment Failed","תשלום נכשל"
"Payment Information","אמצעי התשלום"
"Payment Method","שיטת התשלום"
"Payment Method Name","שם שיטת שלום"
"Payment Method:","שיטת תשלום:"
"Payment Review","סקירת תשלום:"
"Payment disallow storing objects.","תשלום לא מאשר אחסון אובייקטים"
